Type,Latitude,Longitude,Date,Time,Descriptions
Roadwork,1.283330722,103.7811691,22/2/2018,10:52:00 AM,Roadworks on West Coast Highway (towards City) after Clementi Road.
Roadwork,1.295177984,103.8704055,22/2/2018,10:51:00 AM,Roadworks on ECP (towards Changi Airport) before Fort Rd Exit. Avoid lane 1.
Roadwork,1.308648376,103.8776659,22/2/2018,10:50:00 AM,Roadworks on Guillemard Road near Guillemard Road/Lorong 8 Geylang Junction.
Roadwork,1.306711465,103.862045,22/2/2018,10:49:00 AM,Roadworks on Kallang Road (towards Victoria Street) after Kallang Walk.
Roadwork,1.30389333,103.8234963,22/2/2018,10:48:00 AM,Roadworks on Grange Road (towards Orchard Boulevard) after Cuscaden Road.
Roadwork,1.361066821,103.888986,22/2/2018,10:46:00 AM,Roadworks on Tampines Road (towards Jalan Teliti) after Hougang Avenue 1. Avoid left lane.
Roadwork,1.304675782,103.8659717,22/2/2018,10:43:00 AM,Roadworks on Crawford Street (towards Beach Road).
Roadwork,1.336862716,103.6961061,22/2/2018,10:42:00 AM,Roadworks on Pioneer Road North (towards Jurong West Street 63) after Upper Jurong Road. Avoid right lane.
Roadwork,1.306193232,103.839053,22/2/2018,10:42:00 AM,Roadworks on Cairnhill Circle (towards CTE) after Cairnhill Rise. Avoid right lane.
Roadwork,1.302527944,103.863764,22/2/2018,10:41:00 AM,Roadworks on Beach Road (towards Republic Avenue) after Java Road. Avoid left lane.
Roadwork,1.431955278,103.7714872,22/2/2018,10:35:00 AM,Roadworks on Woodlands Avenue 3 (towards City) after Woodlands Ave 1. Avoid right lane.
Roadwork,1.324509236,103.723634,22/2/2018,10:33:00 AM,Roadworks on AYE (towards MCE) after Yuan Ching Exit. Avoid lane 3.
Roadwork,1.431982759,103.7714,22/2/2018,10:33:00 AM,Roadworks on Woodlands Avenue 3 (towards Woodlands Checkpoint) after BKE.
Roadwork,1.311917932,103.9498654,22/2/2018,10:26:00 AM,Roadworks on ECP (towards Changi Airport) after Bayshore Rd Exit. Avoid lane 1.
Roadwork,1.341513091,103.7774657,22/2/2018,10:24:00 AM,Roadworks on Jalan Jurong Kechil near Jalan Anak Bukit/Jalan Jurong Kechil Junction.
Roadwork,1.409003695,103.7559007,22/2/2018,10:24:00 AM,Roadworks on Woodlands Road (towards City) after Mandai Road. Avoid left lane.
Roadwork,1.345967851,103.943214,22/2/2018,10:23:00 AM,Roadworks on Tampines Avenue 5 (towards Tampines Avenue 1) after Tampines Avenue 2.
Roadwork,1.361546187,103.9043937,22/2/2018,10:23:00 AM,Roadworks on KPE (towards TPE) after Tampines Rd Exit. Avoid lane 1.
Roadwork,1.326777883,103.9081436,22/2/2018,10:21:00 AM,Roadworks on PIE (towards Tuas) at Jalan Eunos Exit.
Roadwork,1.31796561,103.9329647,22/2/2018,10:21:00 AM,Roadworks on Bedok South Avenue 1 (towards Bedok South Road) after Upper East Coast Road. Avoid right lane.
Roadwork,1.318080843,103.932992,22/2/2018,10:19:00 AM,Roadworks on Bedok South Avenue 1 (towards Upper East Coast Road) after Bedok South Road. Avoid right lane.
Roadwork,1.322219143,103.8879806,22/2/2018,10:19:00 AM,Roadworks on PIE (towards Tuas) at Paya Lebar Rd Entrance.
Roadwork,1.400646034,103.8928557,22/2/2018,10:16:00 AM,Roadworks on TPE (towards PIE) at Sengkang Exit.
Roadwork,1.332231752,103.9551238,22/2/2018,10:13:00 AM,Roadworks on Xilin Avenue near Upper Changi Road East/Xilin Avenue Junction.
Roadwork,1.380337618,103.9036643,22/2/2018,10:10:00 AM,Roadworks on Buangkok East Drive near Buangkok Drive/Buangkok East Drive Junction.
Accident,1.302651051,103.9146192,22/2/2018,9:33:00 AM,Accident on ECP (towards City) before Still Rd Sth Exit with congestion till East Coast Park Carpark F3 Exit. Avoid lane 1.
Roadwork,1.392133848,103.8486491,22/2/2018,10:09:00 AM,Roadworks on Yio Chu Kang Road (towards Ang Mo Kio Street 65) after Ang Mo Kio Street 66. Avoid right lane.
Roadwork,1.342320977,103.8532985,22/2/2018,10:08:00 AM,Roadworks on Lorong 6 Toa Payoh (towards Braddell Road). Avoid left lane.
Roadwork,1.274240474,103.8448529,22/2/2018,10:08:00 AM,Roadworks on Enggor Street (towards Tras Street) after Anson Road.
Roadwork,1.430428311,103.830485,22/2/2018,10:06:00 AM,Roadworks on Yishun Avenue 5 (towards Yishun Street 11) after Yishun Ring Road. Avoid left lane.
Roadwork,1.369581854,103.8454811,22/2/2018,10:04:00 AM,Roadworks on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 3) after Ang Mo Kio Central 1.
